area_name,origin_station,time_threshold_min,station_id,station_name,line_name,travel_time_min,lon,lat,x,y
pangyo_1st_technovalley,판교역,60,590,애오개,서울5호선,49.716667,126.9566727086522,37.55341644480951,196171.49578105248,550433.5655768213
pangyo_1st_technovalley,판교역,60,321,서울역,공항철도,49.733333,126.96970726119268,37.55330002448569,197323.2562281058,550420.1933074764
pangyo_1st_technovalley,판교역,60,681,남구로,서울7호선,49.75,126.88749291679696,37.48637678986405,190049.7023980423,542998.0708418746
pangyo_1st_technovalley,판교역,60,490,홍제,서울3호선,49.766667,126.94406885541066,37.588796505512455,195060.1260620143,554360.9295372282
pangyo_1st_technovalley,판교역,60,473,용두,서울2호선,49.816667,127.03813603839772,37.57410031842874,203368.86100556326,552729.033639746
pangyo_1st_technovalley,판교역,60,408,화서,서울1호선,49.833333,126.9895992876762,37.28397119370198,199077.66940993737,520528.21633492596
pangyo_1st_technovalley,판교역,60,174,명지대,용인경전철,49.85,127.19027904709888,37.238080811511885,216884.1109877054,515452.0998425272
pangyo_1st_technovalley,판교역,60,487,연신내,서울3호선,49.866667,126.92109402636088,37.61928094369407,193033.81767201266,557745.824039239
pangyo_1st_technovalley,판교역,60,751,염창,서울9호선,49.883333,126.87498009352136,37.54698197986568,188951.98708668913,549725.8805120066
pangyo_1st_technovalley,판교역,60,125,서울역,경의중앙선,49.9,126.9713231003322,37.55680561965095,197466.15460123576,550809.2277923786
pangyo_1st_technovalley,판교역,60,608,강동,서울5호선,49.9,127.13241463712436,37.53588915403585,211703.21953425868,548495.6057800376
pangyo_1st_technovalley,판교역,60,369,도봉,서울1호선,49.916667,127.04560064954164,37.67941062802147,204022.59045531703,564417.659210516
pangyo_1st_technovalley,판교역,60,752,신목동,서울9호선,49.933333,126.88298686255312,37.54446978416588,189659.19876366746,549446.1462969679
pangyo_1st_technovalley,판교역,60,407,수원,서울1호선,50.0,126.99999990232966,37.26571744638561,199999.9913365443,518502.31362706085
pangyo_1st_technovalley,판교역,60,736,암사역사공원,서울8호선,50.083333,127.1383368701046,37.55730179167237,212223.14846742334,550872.9050641976
pangyo_1st_technovalley,판교역,60,656,고려대,서울6호선,50.1,127.0362946303764,37.59042924688882,203205.49452755295,554541.2940002665
pangyo_1st_technovalley,판교역,60,864,덕정,GTX_C,50.2,127.06199962630198,37.843611067294425,205457.1240725178,582643.4222104833
pangyo_1st_technovalley,판교역,60,425,아현,서울2호선,50.266667,126.95620551114132,37.55735678864767,196130.41682897764,550870.9159381877
